domain,ideology,ideology_lower,ideology_upper
wp.pl,-0.173036,-0.255712,-0.09851319
o2.pl,,,
interia.pl,-0.225544,-0.297405,-0.1560873
gazeta.pl,-0.269236,-0.33115725,-0.2024056
onet.pl,,,
wykop.pl,0.01606615,-0.13649635,0.16855905
fakt.pl,-0.2300765,-0.2925035,-0.1671521
wyborcza.pl,-0.330398,-0.3810177,-0.2788018
tvn24.pl,-0.1840315,-0.2544518,-0.1191299
money.pl,-0.192644,-0.28436815,-0.1017587
businessinsider.com.pl,-0.25715,-0.4066976,-0.11572785
gazetawroclawska.pl,-0.3755445,-0.50779655,-0.2505988
tvp.pl,0.5669735,0.4938634,0.63635705
krakow.pl,0.02497095,-0.050702915,0.097059465
trojmiasto.pl,-0.323536,-0.44088715,-0.21264345
se.pl,-0.008034355,-0.07982994,0.06282236
dziennik.pl,-0.07544245,-0.1512636,0.010262355
rp.pl,-0.001113415,-0.078249785,0.07295783
bankier.pl,-0.140503,-0.2426364,-0.04038294
gazetakrakowska.pl,-0.1010165,-0.37928665,0.19153325
satkurier.pl,0.0846083,-0.84951945,1.062681
rmf24.pl,-0.0895723,-0.15385115,-0.028888455
stooq.pl,,,
dziennikbaltycki.pl,-0.370353,-0.4697714,-0.2645185
warszawa.naszemiasto.pl,-0.380655,-0.6048235,-0.16716405
echodnia.eu,,,
radiozet.pl,-0.3339595,-0.4336392,-0.24062055
krakow.naszemiasto.pl,,,
niezalezna.pl,0.381909,0.33152885,0.4342576
lublin112.pl,0.220825,-0.27440525,0.7501323
pomorska.pl,-0.1598795,-0.27710795,-0.044453935
natemat.pl,-0.443727,-0.52940275,-0.3571112
dziennikzachodni.pl,-0.335372,-0.4301187,-0.2477117
wroclaw.pl,-0.3811625,-0.6446297,-0.09798635
wprost.pl,-0.02743985,-0.1063302,0.052768215
gemius.pl,-1.893695,-2.044494,-1.7371185
polskieradio.pl,0.2779875,0.20673865,0.3513092
infor.pl,-0.482937,-0.60643515,-0.36839695
tvn.pl,-0.2746895,-0.3360403,-0.21472245
dzienniklodzki.pl,-0.301646,-0.43551755,-0.1684291
gdansk.pl,-0.3701575,-0.47298075,-0.2724946
salon24.pl,0.215968,0.1506173,0.28333725
wspolczesna.pl,-0.2447785,-0.40261865,-0.084510955
gp24.pl,-0.3790395,-0.50978035,-0.2509261
24opole.pl,,,
gazetalubuska.pl,-0.3829765,-1.09633,0.3517215
wnp.pl,-0.0901318,-0.1823336,-0.005815904
nowosci.com.pl,-0.1790035,-0.33890575,0.000116449905
expressilustrowany.pl,1.37126,1.269199,1.468338
tvp.info,0.232738,0.16896755,0.30194735
gloswielkopolski.pl,-0.1472005,-0.28595435,-0.024188185
wpolityce.pl,0.308965,0.2602893,0.35923895
noizz.pl,-0.861018,-0.9808647,-0.7393351
nowiny24.pl,0.21639,0.07921699,0.3621741
mp.pl,,,
kurierlubelski.pl,0.04418785,-0.07325537,0.1562409
poranny.pl,-0.494448,-0.6822016,-0.31238325
nto.pl,-0.228554,-0.41740525,-0.03957254
gs24.pl,0.03220385,-0.10348625,0.16757995
gazetaprawna.pl,-0.06490515,-0.12883215,-0.003788352
forbes.pl,-0.326394,-0.41643125,-0.2401576
gk24.pl,-1.14765,-1.2347085,-1.0564225
expressbydgoski.pl,-0.1992975,-0.354629,-0.041594515
interia.tv,,,
tokfm.pl,-0.2930055,-0.3773913,-0.2126857
tvn24bis.pl,-0.3841885,-0.4704675,-0.29920745
pikio.pl,-0.06767865,-0.19018445,0.062651245
polskatimes.pl,-0.1718295,-0.23464645,-0.1139017
polityka.pl,-0.269386,-0.32448685,-0.2163886
newsweek.pl,-0.313437,-0.3597168,-0.264971
lm.pl,-1.437775,-1.619955,-1.261472
polsatnews.pl,0.01005236,-0.078683295,0.10461985
wirtualnemedia.pl,-0.1320975,-0.2367461,-0.01926896
warszawa.pl,-0.229741,-0.35589435,-0.10092145
epoznan.pl,,,
medianarodowe.com,0.75298,0.68678045,0.81604165
dziennikpolski24.pl,0.1517115,0.012374605,0.2887035
egospodarka.pl,,,
pb.pl,-0.1598485,-0.2164852,-0.1065558
dziennikwschodni.pl,0.08158575,-0.13736025,0.30290535
lublin.eu,-0.0178358,-0.6358822,0.55475455
oko.press,-0.455286,-0.52146445,-0.3856408
wiesci24.pl,-0.633473,-0.8884793,-0.3752095
gosc.pl,0.4217125,0.35307635,0.49741635
wyborcza.biz,,,
poradnikprzedsiebiorcy.pl,,,
antyradio.pl,-0.6173885,-0.89786885,-0.33381715
sadeczanin.info,1.816935,1.706732,1.9171645
elka.pl,,,
deon.pl,0.552313,0.49300355,0.60721405
popularne.pl,,,
to.com.pl,,,
poznan.naszemiasto.pl,,,
opole.naszemiasto.pl,,,
opoka.org.pl,1.122265,0.98991105,1.2656165
faktykaliskie.pl,1.072905,0.91876125,1.223276
lodz.naszemiasto.pl,,,
forsal.pl,-0.0941791,-0.19366435,0.0018161225
wm.pl,,,
przelom.pl,1.22464,1.0208625,1.441688
wmeritum.pl,0.6671375,0.5669144,0.7728717
innpoland.pl,-0.5170745,-0.61226135,-0.41918235
nczas.com,,,
pap.pl,0.164181,0.08705275,0.2414549
pch24.pl,0.9024425,0.84174545,0.96421995
nowiny.pl,1.126575,0.9553485,1.308983
telewizjarepublika.pl,0.3742345,0.32700875,0.42313995
crowdmedia.pl,-1.22596,-1.317218,-1.1330705
warszawawpigulce.pl,0.04579635,-0.30048475,0.3996058
dlahandlu.pl,-0.3427745,-0.48232955,-0.20387135
tygodniksiedlecki.com,0.0669487,-1.374215,1.445494
dorzeczy.pl,0.394327,0.32479585,0.46023135
krytykapolityczna.pl,-0.4926275,-0.5616452,-0.4172449
300polityka.pl,0.03367715,-0.034813825,0.1001736
aszdziennik.pl,-0.3909585,-0.486855,-0.2924315
24wspolnota.pl,,,
parkiet.com,-0.289,-0.41350295,-0.1636132
24kurier.pl,0.0815941,-0.04786652,0.21117555
tustolica.pl,,,
fronda.pl,0.637337,0.56703295,0.70318105
przegladkoninski.pl,,,
polityczek.pl,-1.172565,-1.305839,-1.018921
radiowroclaw.pl,,,
radiomaryja.pl,0.4404165,0.3699915,0.5119033
polskieradio24.pl,0.2429185,0.16782485,0.3201035
info.elblag.pl,,,
wysokienapiecie.pl,-0.1650715,-0.23624925,-0.082892725
tygodnik.info,,,
gazetaolsztynska.pl,,,
niezlomni.com,1.35313,1.272808,1.437911
olsztyn.com.pl,,,
tyna.info.pl,,,
niedziela.pl,0.930695,0.86766365,0.99414845
regiony.tvp.pl,,,
supernowosci24.pl,0.05767885,-0.27842565,0.42081595
radiolodz.pl,,,
tygodnik.pl,,,
tysol.pl,0.6779305,0.5803392,0.7835069
tygodnikpowszechny.pl,-0.343528,-0.4375777,-0.2512292
ostrowiecka.pl,,,
zycie.pl,,,
tp.com.pl,,,
politykazdrowotna.com,-0.105348,-0.26108565,0.050965105
limanowa.in,,,
tv-trwam.pl,0.563657,0.50619095,0.62520785
radiopoznan.fm,,,
biznesalert.pl,0.07636325,0.012763115,0.14084925
gazetacz.com.pl,,,
zyciesiedleckie.pl,,,
dzienniknarodowy.pl,0.9793125,0.8950909,1.0623735
eglos.pl,,,
newseria.pl,,,
wsensie.pl,0.7474535,0.67494395,0.8286507
superstacja.tv,-0.2442585,-0.3405398,-0.14840025
wgospodarce.pl,0.353207,0.23857335,0.4732277
kresy.pl,,,
energetyka24.com,0.1833965,0.087629865,0.274147
cire.pl,-0.150829,-0.2344066,-0.076527565
wprawo.pl,0.8901065,0.6774133,1.102136
tygodnikzamojski.pl,,,
shareinfo.pl,0.8907755,0.74837635,1.02286
stefczyk.info,,,
thefad.pl,-1.076575,-1.5814175,-0.5683957
wiadomo.co,-0.8306365,-0.90456515,-0.76040755
24tp.pl,,,
strajk.eu,-1.681755,-1.743495,-1.6177375
kurierzawiercianski.pl,,,
dts24.pl,1.81786,1.7154705,1.9303885
propertynews.pl,-0.4828765,-1.222993,0.1612929
przekroj.pl,-0.487576,-0.85994665,-0.117659
temi.pl,,,
tygodnikprzeglad.pl,-0.846214,-0.9575706,-0.73882625
jarocinska.pl,,,
palukitv.pl,,,
gazetapolska.pl,0.754251,0.67815315,0.83339165
zyciekalisza.pl,,,
naszdziennik.pl,0.849048,0.7820863,0.9169669
wsieciprawdy.pl,0.3869845,0.3349308,0.43674825
kronikatygodnia.pl,,,
gospodarkapodkarpacka.pl,,,
wspolnota.org.pl,-0.399207,-0.5540214,-0.22546515
videosejm.pl,0.260015,0.1640247,0.3496846
obserwatorlokalny.pl,,,
glos24.pl,,,
lokalna24.pl,,,
nowytydzien.pl,,,
wsieci24.pl,,,
opzz.org.pl,-0.81186,-0.90969765,-0.7147866
wnet.fm,0.766412,0.69988765,0.83210335
e-stargard.pl,,,
korso.pl,,,
kurierostrowski.pl,,,
centrummedialne.pl,1.047335,0.97768165,1.1179895
warszawskagazeta.pl,,,
przegladpiaseczynski.pl,,,
slowopodlasia.pl,,,
tomaszow-tit.pl,,,
tygodnikpodhalanski.pl,,,
infowire.pl,-1.15843,-1.227667,-1.092421
swinoujskie.info,,,
portalprzemyski.pl,,,
lowiczanin.info,,,
zyciebytomskie.pl,,,
nj24.pl,,,
tygodnikits.pl,,,
tvtoya.pl,,,
tygodniksanocki.pl,,,
konecki24.pl,,,
mpolska24.pl,0.5000135,0.3890169,0.61603645
trybuna.info,,,
przegladlokalny.eu,,,
radioglos.pl,0.8267005,0.6834792,0.9756472
lewica.pl,,,
chojna24.pl,,,
echokatolickie.pl,,,
gazetaslupecka.pl,,,
gloszabrza24.pl,,,
otopanorama.pl,,,
gpcodziennie.pl,0.390436,0.31122055,0.46856195
tvswietokrzyska.pl,,,
chorzowianin.pl,,,
glosswidnika.pl,,,
gpcodziennie.pl,0.390436,0.31122055,0.46856195
nowyobywatel.pl,-0.317191,-0.4438727,-0.18560385
starachowice-net.pl,,,
gazetasredzka.pl,,,
nasz-glos.com,,,
strzelecopolski.pl,,,
ws-24.pl,,,
kurier-ilawski.pl,,,
opoczno-top.pl,,,
7dni.com.pl,,,
tv.starachowice.pl,,,
miasto.koszalin.pl,,,
podkarpacie.media.pl,,,
klodzko24.eu,,,
gazetamyszkowska.pl,,,
noworudzianin.pl,,,
tygodnikpodlaski.pl,,,
terazprudnik.pl,,,
wiadomoscizaglebia.pl,,,
ntvsadecka.pl,,,
news.google.com/topstories?hl=pl&gl=PL&ceid=PL:pl,,,
Naszapolska.pl,,,
Ziemiadebicka.pl,,,
tygodniknie.pl,,,
forumdwutygodnik.pl,,,
dziennikpolski.pl,,,
gazetapomorska.pl,,,
września.info.pl,,,
tc.ciechanow.pl,,,
gazeta-mlawska.pl,,,
tygodnikmakowski.pl,,,
tygodnikprzasnyski.com.pl,,,
donosy.info,,,
citybydgoszcz.pl,,,
czasciechanowa.pl,,,
echotygodnik.info,,,
echogmin24.pl,,,
extraciechanow.pl,,,
gazetalokalna.com,,,
gazeta-mlawska.pl,,,
gazeta.myslenice.pl,,,
gazetasiedlecka.pl,,,
szamotulska.pl,,,
gazetaslaska.pl,,,
glos-tn.krakow.pl,,,
gzc.cieszyn.pl,,,
gwarek.com.pl,,,
konkrety24.pl,,,
kronika.beskidzka.pl,,,
kurekmazurski.pl,,,
linia.com.pl,,,
elokalna.pl,,,
sportexpress.pl,,,
nadwisla.pl,,,
nasz-dzien.pl,,,
enowiny.pl,,,
nowinynyskie.com.pl,,,
ol.com.pl,,,
famka.pl,,,
terazgorzow.pl,,,
terazkielce.pl,,,
terazradom.pl,,,
teraztorun.pl,,,
twojkurier.pl,,,
tc.ciechanow.pl,,,
tygodnikkepinski.pl,,,
tygodnik-krapkowicki.info,,,
tygodnik7dni.pl,,,
tylkogorzow.com,,,
wrzesnia.info.pl,,,
gazetawydarzenia.pl,,,
ziemiakaliska.com.pl,,,
ziemiapiotrkowska.pl,,,
zyciejarocina.pl,,,
insilesia.pl,,,
prawapolityka.pl,,,